Ethical_Reference,ECCOLA_Code,User_Story,Acceptance_Criteria
Transparency,# 2 Explainability,"As a system administrator, I want to be able to trace and understand the actions of the system I am using so that I can control it.","The functionality of any software should be traceable with a command (e.g. action log), and the personnel should be trained to have proficiency in using the system."
Transparency,# 2 Explainability,"The system should develop in such way that all the logics are explainable and understandable so that there won't be any project overruns, or operation errors due to unclear system description",System developers are trained with explainability issues.
Transparency,# 3 Communication,"As a captain of a vessel in a new digitalized terminal, I want to see and feel the new working environment so that I don't loose my toch of being infront of a big crew.","Eventhough the technology is build here, it also affects to the working environment so the cultural side is also developed aside the technology to bring meaning to the process e.g. giving public attention to IT professionals like system developers, system admins and SEs."
Transparency,# 3 Communication,"As a user who doesn't speak English, I want to have cues in several languages, so that I can navigate properly.",Multilingual support
Transparency,# 3 Communication,"As a pilot, I would like to have clear information on the goals expected from my arrival and departure and how it impacts the greater goal for the SMARTER terminal to enable me work towards achieving it by ensuring that my ship arrives and leavels timely in aligment with the goals of the terminals.",Clear and detailed information on SMART terminal objectives and goals to enable other stakeholders align their activities in realization of meeting them
Transparency,# 5 Traceability,"As a security officer who got contacted by the police about a certain car, I want to track where the car was seen last, so that I can predict where it is going next.","An intelligent system connected to the video surveillance in the terminal can be given parameters to search for the current or latest location of a vehicle or person in the terminal by being given the register plate, a photo of a person, or other such identifying data."
Transparency,# 5 Traceability,"As a security officer who got contacted by the police about a certain passenger, I want to be able to get help from an AI system in tracking down a certain face, so that the person can be stopped within the terminal.","An intelligent system connected to the video surveillance in the terminal can be given parameters to search for the current or latest location of a vehicle or person in the terminal by being given the register plate, a photo of a person, or other such identifying data."
Transparency,# 5 Traceability,"As a passenger with a vehicle, I want to have a helpline information (phone number etc.) that I can use when something goes wrong.",Terminal area and booking documents and booking app contains the help information (for different purposes broken down).
Transparency,# 5 Traceability,"As a passenger, I want to know exactly what information about my vehicle and implicitly, me, is being processed by the port, so I can feel safe and informed","Before a person with a vehicle enters the port, they are given explanation of what information will be handled, for example at the stage of making a reservation when they agree to give the necessary information of their vehicle"
Transparency,# 5 Traceability,"As a technically oriented passenger, I want to know and have the data available only for me of what data of my car is handled by AI so that I know the decisions concerning my car is made by AI and not a terminal personnel.",A clear advertisement is placed on the booking document about the AI and data privacy.
Transparency,# 5 Traceability,System administrator I want to manage the GDPR requirements in efficient manner so that the service is not jammed by the user information request or erase request,Data information policy is communicated at the service app/web page. Procedures in place for GDPR compliance and required steps are planned for example huge amount of user data request. For example redirection of resources or waiting times are clearly communicated
Data,# 7 Privacy and Data,"As a company representative responsible for deliveries, I want to make sure that the location of our trucks is not revealed to outside parties when the truck enters the terminal and the required data is yielded, so that the truck will not come to any harm.",Data outside the terminal that could lead to identifying a truck's exact destination or exact location need to either not be collected at all or stored separately in a way that it cannot be connected to an individual vehicle.
Data,# 7 Privacy and Data,"As a company representative responsible for managing containers, I would like information such as container ID to be accurate and secure so that it is not divulged (either mistakenly or maliciously) to unauthorized parties to enable me trust and use the system with confidence.",A Secured information system where access to information such as container ID is delivered securely with clear access logs on the system.
Data,# 7 Privacy and Data,"As a operational risk management responsible I want to be able to assess the risk of potential data loss, security and lack of access for cases if we choose local data storage or rely on cloud storage option so I can recommend either or hybrid solution to be selected for minimal operational risk.","The advantages and disadvantages as well as disaster recovery options, back up-options, data location information etc. must be collected and evaluated for options of storing the system data ""locally"" or in a cloud data store."
