Ethical_Reference,ECCOLA_Code,User_Story,Acceptance_Criteria
Transparency,# 2 Explainability,"As a crew member, I want to see and feel that the transition from traditional work processess to new digitalized work processes are conducted in different phases and I want to be aware of those deployed phases so that I can plan my own work calender according to those transition phases.",Digitalization deployment plan is implemented to the HR and to personal development plan to bring understanding to the transition process.
Transparency,# 2 Explainability,As a pilot of a digitalized vessel I want to know that I can trust to the system and all stakeholders that are involved so that I can do my job which I love with a 100% accuracy,Accountability report is written in every 6 months by the owners to enhace trust to the project and terminal crew.
Transparency,# 2 Explainability,"As a field worker with an experience over 30 years in terminals, I want to know how the Smart terminal works holistically so can continue working there.",Terminal intranet is shared with videos that explain the AI technology and Smart Terminal concept.
Transparency,# 2 Explainability,"As a pilot of autonomous vessel, I want to know, where I can intervine so that human in the loop aternative is secured and in case of safety I can alter the decisions that AI have taken.",In the development of the autonomous piloting and manouvering e.g. all interactions by the AI are defined and brought to the attention of system developers to create possibilities for human pilot to interviene to the process.
Transparency,# 2 Explainability,"As personnel who is not onboard ship personnel, I want to be able to receive clear common language instructions if I have to I navigate through technological systems in the ship and port, so that I won't face problems during my duties or damage the system.","All the systems that need to be interacted with by personnel that is not the regular user of the system, need to have clear natural language instructions for how to bypass/use them when cleaning/doing ship maintenance etc."
Transparency,# 2 Explainability,"As a traffic personel, I would like the system to explain to me how to manage traffic efficiently so that I can make provision for all the vehicles that will board the ship.",The SMART terminal can include information of space management and how this can be optimized to enable personnel facilitate efficient vehicle management on the ship
Transparency,# 2 Explainability,"AS a digital twin operator (remote pilot), I want to know the system that I'm operating, so that I can trust it and use it.",The level of explainability is defined and communicated inside the project and when the smart terminal goes live.
Transparency,# 2 Explainability,"As a field personnel, without any SMART device knowledge or any IT know-how, I want to know the modern terms of the SMART terminal, so that I can communicate better with the management about the issues that the new technology is bringing to my field of work.","Terminal staff are trained regularly about the future terminal, how it works and list the terms in e.g. SMART terminal vocabulary accessible trough the intra pages of the terminal."
Transparency,# 2 Explainability,"As a developer of the SMART terminal, I want to know that the data sources for the system are of good quality and devoid of bias so that I can develop a system that the users can trust.",Data sources used for SMART terminal should be sourced from sources that follow regulations and guidleines for quality data. Compliance certifications as well as accountability checks should be in place.
Transparency,# 3 Communication,"As a Diana the decker I know that communication is everything in creating a functional operating environment. I want to do it in many levels by using F2F verbal and nonverbal communication as well as digital communication channels so that I can be effective, clear, reliable and intuitive so that I can encount not only ""customers"" with different background and culture but also crew.","Different cultural backgrounds must be taken into account .Universal symbols must be created in order to read messages in a same way (e.g., pictures + text combinations). The key questions need to be identified and integrate as part of the systmem standards. Modern technology e.g., live streaming e.g., via smart phones can be used if no common language can be found. ""Always"" reachable and quick answers creates trust. Wheather to face a ""real person"" is important to know. Acceptance, for example, on whether the interaction can be used to develop communication activities?"
Transparency,# 3 Communication,"As an communications officer in the Smart Terminal, I want to know, what the privacy related issues are in detail in all use cases in practise so that I can perform the communication plan for live sessions (when vessels arrive and departs e.g.)",All stakeholders in Smart terminal involved in the data handling are trained with privacy related issues and how to apply the privacy issues in practise.
